[635d1b4e][server]: starting...
[635d1b4e][datafile]: loading. filename='maps/infc_alien.map'
[635d1b4e][datafile]: allocsize=4948
[635d1b4e][datafile]: readsize=4500
[635d1b4e][datafile]: swaplen=4520
[635d1b4e][datafile]: item_size=3860
[635d1b4e][datafile]: loading done. datafile='maps/infc_alien.map'
[635d1b4e][datafile]: loading. filename='maps/infc_alien.map'
[635d1b4e][datafile]: allocsize=4948
[635d1b4e][datafile]: readsize=4500
[635d1b4e][datafile]: swaplen=4520
[635d1b4e][datafile]: item_size=3860
[635d1b4e][datafile]: loading done. datafile='maps/infc_alien.map'
[635d1b4e][datafile]: loading data index=21 size=749 uncompressed=52500
[635d1b4e][datafile]: loading. filename='clientmaps/infc_alien_486bd034/tw06-highres.map'
[635d1b4e][datafile]: allocsize=22412
[635d1b4e][datafile]: readsize=21820
[635d1b4e][datafile]: swaplen=21840
[635d1b4e][datafile]: item_size=20824
[635d1b4e][datafile]: loading done. datafile='clientmaps/infc_alien_486bd034/tw06-highres.map'
[635d1b4e][server]: map crc is 486bd034, generated map crc is 924cb98d
[635d1b4e][server]: maps/infc_x_current.map loaded in memory
[635d1b4e][server]: server name is '『中国活动服』感染模式InfclassR'
[635d1b4e][datafile]: loading data index=30 size=1696 uncompressed=12312
[635d1b4e][datafile]: loading data index=31 size=822 uncompressed=6840
[635d1b4e][datafile]: loading data index=32 size=739 uncompressed=5016
[635d1b4e][server]: version 0.6 868ccbe551010094
[635d1b4e][engine/mastersrv]: refreshing master server addresses
[635d1b4e][register]: refreshing ip addresses
[635d1b4e][engine/mastersrv]: saving addresses
[635d1b4e][register]: fetching server counts
[635d1b4e][server]: player is ready. ClientID=4 addr=113.83.18.236:1190 secure=yes
[635d1b4e][server]: player is ready. ClientID=2 addr=36.250.88.154:16323 secure=yes
[635d1b4e][server]: player is ready. ClientID=3 addr=117.37.10.82:3479 secure=yes
[635d1b4f][net_ban]: banned '115.53.124.68' for 1 minute (Stressing network)
[635d1b4f][server]: player is ready. ClientID=5 addr=111.1.99.193:10501 secure=yes
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][server]: player is ready. ClientID=6 addr=125.36.101.74:36783 secure=yes
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
[635d1b4f][net_ban]: '115.53.124.68' banned for 1 minute (Stressing network)
